"Statistic","Quarter","Age Group","Sex","Education Level","UNIT","VALUE"
"Persons Aged 15-64","2009Q2","15 - 19 years","Both sexes","Primary","%","2"
"Persons Aged 15-64","2009Q2","15 - 19 years","Both sexes","Lower secondary","%","8"
"Persons Aged 15-64","2009Q2","15 - 19 years","Both sexes","Upper secondary","%","52"
"Persons Aged 15-64","2009Q2","15 - 19 years","Both sexes","Post leaving cert","%","11"
"Persons Aged 15-64","2009Q2","15 - 19 years","Both sexes","Third level","%","27"
"Persons Aged 15-64","2009Q2","15 - 19 years","Both sexes","Higher certificate","%","3"
"Persons Aged 15-64","2009Q2","15 - 19 years","Both sexes","Ordinary bachelor degree/professional qualification or both","%","7"
"Persons Aged 15-64","2009Q2","15 - 19 years","Both sexes","Honours bachelor degree/professional qualification or both","%","16"
"Persons Aged 15-64","2009Q2","15 - 19 years","Both sexes","Postgraduate diploma/degree or Doctorate (Ph.D.)","%","2"
"Persons Aged 15-64","2009Q2","15 - 19 years","Male","Primary","%","19"
"Persons Aged 15-64","2009Q2","15 - 19 years","Male","Lower secondary","%","51"
"Persons Aged 15-64","2009Q2","15 - 19 years","Male","Upper secondary","%","28"
"Persons Aged 15-64","2009Q2","15 - 19 years","Male","Post leaving cert","%","2"
"Persons Aged 15-64","2009Q2","15 - 19 years","Male","Third level","%","0"
"Persons Aged 15-64","2009Q2","15 - 19 years","Male","Higher certificate","%","0"
"Persons Aged 15-64","2009Q2","15 - 19 years","Male","Ordinary bachelor degree/professional qualification or both","%","0"
"Persons Aged 15-64","2009Q2","15 - 19 years","Male","Honours bachelor degree/professional qualification or both","%","0"
"Persons Aged 15-64","2009Q2","15 - 19 years","Male","Postgraduate diploma/degree or Doctorate (Ph.D.)","%","0"
"Persons Aged 15-64","2009Q2","15 - 19 years","Female","Primary","%","18"
"Persons Aged 15-64","2009Q2","15 - 19 years","Female","Lower secondary","%","51"
"Persons Aged 15-64","2009Q2","15 - 19 years","Female","Upper secondary","%","28"
"Persons Aged 15-64","2009Q2","15 - 19 years","Female","Post leaving cert","%","2"
"Persons Aged 15-64","2009Q2","15 - 19 years","Female","Third level","%","1"
"Persons Aged 15-64","2009Q2","15 - 19 years","Female","Higher certificate","%","0"
"Persons Aged 15-64","2009Q2","15 - 19 years","Female","Ordinary bachelor degree/professional qualification or both","%","0"
"Persons Aged 15-64","2009Q2","15 - 19 years","Female","Honours bachelor degree/professional qualification or both","%","0"
"Persons Aged 15-64","2009Q2","15 - 19 years","Female","Postgraduate diploma/degree or Doctorate (Ph.D.)","%","0"
"Persons Aged 15-64","2009Q2","15 - 64 years","Both sexes","Primary","%","12"
"Persons Aged 15-64","2009Q2","15 - 64 years","Both sexes","Lower secondary","%","18"
"Persons Aged 15-64","2009Q2","15 - 64 years","Both sexes","Upper secondary","%","26"
"Persons Aged 15-64","2009Q2","15 - 64 years","Both sexes","Post leaving cert","%","11"
"Persons Aged 15-64","2009Q2","15 - 64 years","Both sexes","Third level","%","32"
"Persons Aged 15-64","2009Q2","15 - 64 years","Both sexes","Higher certificate","%","4"
"Persons Aged 15-64","2009Q2","15 - 64 years","Both sexes","Ordinary bachelor degree/professional qualification or both","%","10"
"Persons Aged 15-64","2009Q2","15 - 64 years","Both sexes","Honours bachelor degree/professional qualification or both","%","13"
"Persons Aged 15-64","2009Q2","15 - 64 years","Both sexes","Postgraduate diploma/degree or Doctorate (Ph.D.)","%","5"
"Persons Aged 15-64","2009Q2","15 - 64 years","Male","Primary","%","13"
"Persons Aged 15-64","2009Q2","15 - 64 years","Male","Lower secondary","%","20"
"Persons Aged 15-64","2009Q2","15 - 64 years","Male","Upper secondary","%","26"
"Persons Aged 15-64","2009Q2","15 - 64 years","Male","Post leaving cert","%","11"
"Persons Aged 15-64","2009Q2","15 - 64 years","Male","Third level","%","29"
"Persons Aged 15-64","2009Q2","15 - 64 years","Male","Higher certificate","%","4"
"Persons Aged 15-64","2009Q2","15 - 64 years","Male","Ordinary bachelor degree/professional qualification or both","%","8"
