Cluster,Garda_Station,Value
Donnybrook,1,141.95098
Irishtown,2,113.142157
Pearse St,3,841.867647
Kevin St,4,272.926471
Kilmainham,5,216.259804
Crumlin,6,127.759804
Sundrive Rd,7,135.970588
Rathfarnham,8,208.279412
Tallaght,9,496.02451
Rathmines,10,154.931373
Terenure,11,108.382353
Blackrock,12,122.529412
Dundrum,13,240.965686
Cabinteely,14,92.3137255
Dun Laoighre,15,222.465686
Ballyfermot,16,174.539216
Clondalkin,17,216.833333
Rathcoole,18,53.6568627
Lucan,19,133.955882
Ronanstown,20,212.656863
