Year,Garda_Station,
2003,Bridewell,
2003,Fitzgibbon St,
2003,Mountjoy,
2003,Store St,
2003,Balbriggan,
2003,Garristown,
2003,Lusk,
2003,Skerries,
2003,Ballymun,
2003,Dublin Airport,
2003,Santry,
2003,Coolock,
2003,Malahide,
2003,Swords,
2003,Clontarf,
2003,Howth,
2003,Raheny,
2003,Blanchardstown,
2003,Cabra,
2003,Finglas,
2004,Bridewell,
2004,Fitzgibbon St,
2004,Mountjoy,
2004,Store St,
2004,Balbriggan,
2004,Garristown,
2004,Lusk,
2004,Skerries,
2004,Ballymun,
2004,Dublin Airport,
2004,Santry,
2004,Coolock,
2004,Malahide,
2004,Swords,
2004,Clontarf,
2004,Howth,
2004,Raheny,
2004,Blanchardstown,
2004,Cabra,
2004,Finglas,
2005,Bridewell,
2005,Fitzgibbon St,
2005,Mountjoy,
2005,Store St,
2005,Balbriggan,
2005,Garristown,
2005,Lusk,
2005,Skerries,
2005,Ballymun,
2005,Dublin Airport,
2005,Santry,
2005,Coolock,
2005,Malahide,
2005,Swords,
2005,Clontarf,
2005,Howth,
2005,Raheny,
2005,Blanchardstown,
2005,Cabra,
2005,Finglas,
2006,Bridewell,
2006,Fitzgibbon St,
2006,Mountjoy,
2006,Store St,
2006,Balbriggan,
2006,Garristown,
2006,Lusk,
2006,Skerries,
2006,Ballymun,
2006,Dublin Airport,
2006,Santry,
2006,Coolock,
2006,Malahide,
2006,Swords,
2006,Clontarf,
2006,Howth,
2006,Raheny,
2006,Blanchardstown,
2006,Cabra,
2006,Finglas,
2007,Bridewell,
2007,Fitzgibbon St,
2007,Mountjoy,
2007,Store St,
2007,Balbriggan,
2007,Garristown,
2007,Lusk,
2007,Skerries,
2007,Ballymun,
2007,Dublin Airport,
2007,Santry,
2007,Coolock,
2007,Malahide,
2007,Swords,
2007,Clontarf,
2007,Howth,
2007,Raheny,
2007,Blanchardstown,
2007,Cabra,
2007,Finglas,
2008,Bridewell,
2008,Fitzgibbon St,
2008,Mountjoy,
2008,Store St,
2008,Balbriggan,
2008,Garristown,
2008,Lusk,
2008,Skerries,
2008,Ballymun,
2008,Dublin Airport,
2008,Santry,
2008,Coolock,
2008,Malahide,
2008,Swords,
2008,Clontarf,
2008,Howth,
2008,Raheny,
2008,Blanchardstown,
2008,Cabra,
2008,Finglas,
2009,Bridewell,
2009,Fitzgibbon St,
2009,Mountjoy,
2009,Store St,
2009,Balbriggan,
2009,Garristown,
2009,Lusk,
2009,Skerries,
2009,Ballymun,
2009,Dublin Airport,
2009,Santry,
2009,Coolock,
2009,Malahide,
2009,Swords,
2009,Clontarf,
2009,Howth,
2009,Raheny,
2009,Blanchardstown,
2009,Cabra,
2009,Finglas,
2010,Bridewell,
2010,Fitzgibbon St,
2010,Mountjoy,
2010,Store St,
2010,Balbriggan,
2010,Garristown,
2010,Lusk,
2010,Skerries,
2010,Ballymun,
2010,Dublin Airport,
2010,Santry,
2010,Coolock,
2010,Malahide,
2010,Swords,
2010,Clontarf,
2010,Howth,
2010,Raheny,
2010,Blanchardstown,
2010,Cabra,
2010,Finglas,
2011,Bridewell,
2011,Fitzgibbon St,
2011,Mountjoy,
2011,Store St,
2011,Balbriggan,
2011,Garristown,
2011,Lusk,
2011,Skerries,
2011,Ballymun,
2011,Dublin Airport,
2011,Santry,
