Income,Year,Garda_Station,Crime 1,Crime 2,Crime 3,Crime 4,Crime 5,Crime 6,Crime 7,Crime 8,Crime 9,Crime 10,Crime 11,Crime 12,,,,,
0,2003,Bridewell,134,242,67,446,113,38,1,1444,452,83,997,27,,,,,
0,2003,Fitzgibbon St,127,279,135,469,80,21,2,49,481,97,1037,56,,,,,
0,2003,Mountjoy,104,285,38,485,71,16,1,51,362,50,1067,19,,,,,
0,2003,Store St,214,313,182,540,127,98,3,144,3028,114,5274,79,,,,,
0,2003,Balbriggan,39,61,10,79,52,5,2,8,133,2,132,10,,,,,
0,2003,Garristown,1,19,0,3,4,0,0,1,1,0,17,0,,,,,
0,2003,Lusk,36,69,8,41,28,0,0,7,33,5,110,0,,,,,
0,2003,Skerries,32,46,7,60,20,1,0,3,41,2,76,1,,,,,
0,2003,Ballymun,110,145,52,231,64,23,0,46,132,17,337,31,,,,,
0,2003,Dublin Airport,17,6,24,35,12,395,1,3,43,4,283,6,,,,,
0,2003,Santry,64,368,72,358,116,50,1,43,273,54,891,20,,,,,
0,2003,Coolock,95,260,235,749,102,21,0,44,451,41,983,38,,,,,
0,2003,Malahide,33,167,13,231,36,12,0,13,164,17,440,2,,,,,
0,2003,Swords,74,215,131,475,84,20,0,86,282,24,760,9,,,,,
0,2003,Clontarf,60,314,39,380,84,15,1,27,151,58,766,5,,,,,
0,2003,Howth,19,206,15,148,47,5,0,21,111,18,351,5,,,,,
0,2003,Raheny,36,176,25,229,47,23,1,15,128,39,389,7,,,,,
0,2003,Blanchardstown,141,444,38,759,185,47,2,56,313,106,1656,43,,,,,
0,2003,Cabra,61,163,18,282,36,9,1,27,125,23,458,11,,,,,
0,2003,Finglas,122,235,52,421,68,18,0,108,381,84,706,78,,,,,
37653,2004,Bridewell,149,213,109,622,109,33,4,1383,545,55,1112,17,,,,,
37653,2004,Fitzgibbon St,163,259,111,520,71,34,0,53,416,81,976,51,,,,,
37653,2004,Mountjoy,128,317,60,616,70,22,0,52,388,76,1005,25,,,,,
37653,2004,Store St,208,283,190,594,126,113,1,128,3242,98,4573,88,,,,,
37653,2004,Balbriggan,51,97,14,72,61,6,1,17,99,6,150,7,,,,,
37653,2004,Garristown,3,20,0,0,3,0,0,2,3,0,29,2,,,,,
37653,2004,Lusk,20,54,2,37,44,2,0,5,41,10,95,0,,,,,
37653,2004,Skerries,15,32,3,50,24,1,0,5,24,8,76,2,,,,,
37653,2004,Ballymun,132,203,49,295,90,12,3,49,80,34,432,42,,,,,
37653,2004,Dublin Airport,18,10,30,40,21,151,0,4,52,1,259,15,,,,,
37653,2004,Santry,83,451,43,441,122,43,5,29,213,72,965,24,,,,,
37653,2004,Coolock,115,319,204,676,98,13,1,92,399,54,903,43,,,,,
